Date,Open,High,Low,Close,Volume
2017-01-23 15-05,120.05,120.05,120.05,120.05,30821
2017-01-23 15-06,120.04,120.04,120.04,120.04,27705
2017-01-23 15-07,120.07,120.07,120.07,120.07,35171
2017-01-23 15-08,120.055,120.055,120.055,120.055,39112
2017-01-23 15-09,120.06,120.06,120.06,120.06,12704
2017-01-23 15-10,120.06,120.06,120.06,120.06,32612
2017-01-23 15-11,120.04,120.04,120.04,120.04,23484
2017-01-23 15-12,120.01,120.01,120.01,120.01,36212
2017-01-23 15-13,120.03,120.03,120.03,120.03,15264
2017-01-23 15-14,120.0042,120.0042,120.0042,120.0042,19872
2017-01-23 15-15,120.005,120.005,120.005,120.005,22120
2017-01-23 15-16,120.0038,120.0038,120.0038,120.0038,39290
2017-01-23 15-17,120.029,120.029,120.029,120.029,15854
2017-01-23 15-18,120.0265,120.0265,120.0265,120.0265,32440
2017-01-23 15-19,120,120,120,120,17340
2017-01-23 15-20,120,120,120,120,24956
2017-01-23 15-21,119.995,119.995,119.995,119.995,35242
2017-01-23 15-22,120.0184,120.0184,120.0184,120.0184,26408
2017-01-23 15-23,120.0339,120.0339,120.0339,120.0339,30030
2017-01-23 15-24,120.0558,120.0558,120.0558,120.0558,40920
2017-01-23 15-25,120.0535,120.0535,120.0535,120.0535,35544
2017-01-23 15-26,120.06,120.06,120.06,120.06,33044
2017-01-23 15-27,120.0436,120.0436,120.0436,120.0436,97590
2017-01-23 15-28,120.02,120.02,120.02,120.02,15302
2017-01-23 15-29,120.03,120.03,120.03,120.03,22074
2017-01-23 15-30,120.03,120.03,120.03,120.03,166878
2017-01-23 15-31,120.03,120.03,120.03,120.03,33960
2017-01-23 15-32,120.02,120.02,120.02,120.02,23788
2017-01-23 15-33,120.015,120.015,120.015,120.015,17860
2017-01-23 15-34,120.035,120.035,120.035,120.035,33536
2017-01-23 15-35,120.07,120.07,120.07,120.07,59552
2017-01-23 15-36,120.08,120.08,120.08,120.08,47506
2017-01-23 15-37,120.0934,120.0934,120.0934,120.0934,80738
2017-01-23 15-38,120.08,120.08,120.08,120.08,35158
2017-01-23 15-39,120.07,120.07,120.07,120.07,57394
2017-01-23 15-40,120.115,120.115,120.115,120.115,122068
2017-01-23 15-41,120.1384,120.1384,120.1384,120.1384,58816
2017-01-23 15-42,120.1899,120.1899,120.1899,120.1899,107540
2017-01-23 15-43,120.17,120.17,120.17,120.17,84906
2017-01-23 15-44,120.18,120.18,120.18,120.18,54818
2017-01-23 15-45,120.19,120.19,120.19,120.19,37790
2017-01-23 15-46,120.2,120.2,120.2,120.2,35682
2017-01-23 15-47,120.17,120.17,120.17,120.17,101596
2017-01-23 15-48,120.205,120.205,120.205,120.205,102854
2017-01-23 15-49,120.185,120.185,120.185,120.185,45998
2017-01-23 15-50,120.14,120.14,120.14,120.14,113012
2017-01-23 15-51,120.11,120.11,120.11,120.11,71616
2017-01-23 15-52,120.115,120.115,120.115,120.115,54480
2017-01-23 15-53,120.115,120.115,120.115,120.115,39156
2017-01-23 15-54,120.095,120.095,120.095,120.095,151200
2017-01-23 15-55,120.16,120.16,120.16,120.16,99376
2017-01-23 15-56,120.13,120.13,120.13,120.13,68136
2017-01-23 15-57,120.08,120.08,120.08,120.08,81460
2017-01-23 15-58,120.09,120.09,120.09,120.09,71352
2017-01-23 15-59,120.11,120.11,120.11,120.11,262406
2017-01-23 16-00,120.08,120.08,120.08,120.08,1181234
2017-01-24 09-30,119.74,119.74,119.74,119.74,834889
2017-01-24 09-31,119.87,119.87,119.87,119.87,192095
2017-01-24 09-32,119.74,119.74,119.74,119.74,163065
2017-01-24 09-33,119.77,119.77,119.77,119.77,206568
2017-01-24 09-34,119.82,119.82,119.82,119.82,156176
2017-01-24 09-35,119.97,119.97,119.97,119.97,236332
2017-01-24 09-36,119.99,119.99,119.99,119.99,129085
2017-01-24 09-37,119.935,119.935,119.935,119.935,100288
2017-01-24 09-38,119.9799,119.9799,119.9799,119.9799,92810
2017-01-24 09-39,119.945,119.945,119.945,119.945,189058
2017-01-24 09-40,120.07,120.07,120.07,120.07,247318
2017-01-24 09-41,119.97,119.97,119.97,119.97,97472
2017-01-24 09-42,119.97,119.97,119.97,119.97,79953
2017-01-24 09-43,119.9101,119.9101,119.9101,119.9101,123376
2017-01-24 09-44,119.98,119.98,119.98,119.98,66257
2017-01-24 09-45,120,120,120,120,117224
2017-01-24 09-46,119.95,119.95,119.95,119.95,189376
2017-01-24 09-47,119.85,119.85,119.85,119.85,153880
2017-01-24 09-48,119.9199,119.9199,119.9199,119.9199,102320
2017-01-24 09-49,119.95,119.95,119.95,119.95,100503
2017-01-24 09-50,119.881,119.881,119.881,119.881,59312
2017-01-24 09-51,119.93,119.93,119.93,119.93,85438
2017-01-24 09-52,119.92,119.92,119.92,119.92,62236
2017-01-24 09-53,119.945,119.945,119.945,119.945,73189
2017-01-24 09-54,119.9501,119.9501,119.9501,119.9501,55746
2017-01-24 09-55,119.965,119.965,119.965,119.965,54415
2017-01-24 09-56,119.985,119.985,119.985,119.985,45530
2017-01-24 09-57,119.995,119.995,119.995,119.995,27434
2017-01-24 09-58,120.02,120.02,120.02,120.02,109015
2017-01-24 09-59,120.01,120.01,120.01,120.01,45586
2017-01-24 10-00,119.9676,119.9676,119.9676,119.9676,86004
2017-01-24 10-01,119.895,119.895,119.895,119.895,146987
2017-01-24 10-02,119.92,119.92,119.92,119.92,103535
2017-01-24 10-03,119.96,119.96,119.96,119.96,132628
2017-01-24 10-04,119.96,119.96,119.96,119.96,44027
2017-01-24 10-05,119.93,119.93,119.93,119.93,61536
2017-01-24 10-06,119.9299,119.9299,119.9299,119.9299,43161
2017-01-24 10-07,119.925,119.925,119.925,119.925,30641
2017-01-24 10-08,119.92,119.92,119.92,119.92,113061
2017-01-24 10-09,119.925,119.925,119.925,119.925,69769
2017-01-24 10-10,119.91,119.91,119.91,119.91,47785
2017-01-24 10-11,119.93,119.93,119.93,119.93,95339
2017-01-24 10-12,119.9103,119.9103,119.9103,119.9103,52738
2017-01-24 10-13,119.94,119.94,119.94,119.94,59572
2017-01-24 10-14,119.94,119.94,119.94,119.94,47877
2017-01-24 10-15,119.945,119.945,119.945,119.945,27667
2017-01-24 10-16,119.965,119.965,119.965,119.965,25053
2017-01-24 10-17,119.9501,119.9501,119.9501,119.9501,33790
2017-01-24 10-18,119.97,119.97,119.97,119.97,23936
2017-01-24 10-19,119.96,119.96,119.96,119.96,57927
2017-01-24 10-20,119.96,119.96,119.96,119.96,32580
2017-01-24 10-21,119.97,119.97,119.97,119.97,78030
2017-01-24 10-22,120.005,120.005,120.005,120.005,71037
2017-01-24 10-23,120,120,120,120,70914
2017-01-24 10-24,120.0039,120.0039,120.0039,120.0039,46970
2017-01-24 10-25,119.995,119.995,119.995,119.995,51676
2017-01-24 10-26,120,120,120,120,156130
2017-01-24 10-27,120,120,120,120,48519
2017-01-24 10-28,119.995,119.995,119.995,119.995,67698
2017-01-24 10-29,119.97,119.97,119.97,119.97,47606
2017-01-24 10-30,119.9875,119.9875,119.9875,119.9875,64171
2017-01-24 10-31,119.98,119.98,119.98,119.98,72548
2017-01-24 10-32,119.98,119.98,119.98,119.98,57455
2017-01-24 10-33,119.9899,119.9899,119.9899,119.9899,77404
